name, description, link
jenkins, Jenkins Continuous Integration Server,https://github.com/jenkinsci/jenkins
errbit, The open source error catcher that's Airbrake API compliant, https://github.com/errbit/errbit
locomotivecms, a brand new CMS system with super sexy UI and cool features, https://github.com/locomotivecms/engine
graylog,Search your logs - create charts - send reports and be alerted when something happens.  ,https://github.com/Graylog2/graylog2-server
discourse, A platform for community discussion, https://github.com/discourse/discourse
cabot, Self-hosted - easily-deployable monitoring and alerts service, https://github.com/arachnys/cabot
gitlab, Open source software to collaborate on code, https://github.com/gitlabhq/gitlabhq
gitlab-ci, Continuous integration server for gitlabhq, https://github.com/gitlabhq/gitlab-ci
shoes4, build desktop GUI,https://github.com/shoes/shoes4
play, your company's dj,https://github.com/play/play
hubot, A customizable- kegerator-powered life embetterment robot,https://github.com/github/hubot
logstash, logstash is a tool for managing events and logs. , https://github.com/elasticsearch/logstash
statsd, Simple daemon for easy stats aggregation, https://github.com/etsy/statsd
collectd3, Showing stats with collectd + d3js,https://github.com/StackStorm/collectd3
sentry,Sentry is a realtime & platform-agnostic error logging and aggregation platform, https://github.com/getsentry/sentry
fluentd, Fluentd data collector, https://github.com/fluent/fluentd/
rehook, Webhook dispatcher, https://github.com/gophergala/rehook
dnsp, dns proxy, https://github.com/gophergala/dnsp
prometheus, The Prometheus monitoring system and time series database, https://github.com/prometheus/prometheus
mailcatcher, Catches mail and serves it through a dream ,https://github.com/sj26/mailcatcher
lets-chat, Self-hosted chat app for small teams, https://github.com/sdelements/lets-chat
websocketd, Turn any program that uses STDIN/STDOUT into a WebSocket server , https://github.com/joewalnes/websocketd
licode, Open Source Communication Provider based on WebRTC and Cloud technologies, https://github.com/ging/licode
drone, Drone is a Continuous Integration platform built on Docker, https://github.com/drone/drone
influxdb, Scalable datastore for metrics - events - and real-time analytics, https://github.com/influxdb/influxdb
beanstalkd, Beanstalk is a simple and fast work queue ,https://github.com/kr/beanstalkd
cayley, An open-source graph database, https://github.com/google/cayley
virtkick, A simple orchestrator. Manage virtual machines or Docker containers easily, https://github.com/virtkick/virtkick
hipache, Hipache: a distributed HTTP and websocket proxy, https://github.com/hipache/hipache
vulcand, Programmatic load balancer backed by Etcd, https://github.com/mailgun/vulcand
json-server, Get a full fake REST API with zero coding in less than 30 seconds, https://github.com/typicode/json-server
virtkick, SaaS hosting platform control panel. ,https://github.com/virtkick/
slate, Beautiful static documentation for your API, https://github.com/tripit/slate
mattermost, Open source Slack-alternative in Golang and React, https://github.com/mattermost/platform
swaggerific,Automatically create stub RESTful API services from Swagger 2.0 documentation,https://github.com/blinkboxbooks/swaggerific
leofs,LeoFS is an unstructured object/data storage for the Web and a highly available distributed eventually consistent storage system, https://github.com/leo-project/leofs
st2, IFTTT for Ops, https://github.com/StackStorm/st2
huginn, Build agents that monitor and act on your behalf - ifttt ,https://github.com/cantino/huginn
redash, Connect to any data source - easily visualize and share your data, https://github.com/getredash/redash
