name, description, link
scheduler, Advanced Scheduling for Docker and Tutum.co, https://github.com/Sillelien/scheduler
dray, An engine for managing the execution of container-based workflows. http://Dray.it, https://github.com/CenturyLinkLabs/dray
ctlc-docker-amb-etcd, Docker Ambassador with Etcd registration built-in, https://github.com/CenturyLinkLabs/ctlc-docker-amb-etcd
nginx-confd-etcd, Docker container for configured nginx based on etcd and registrator, https://github.com/tarhelypark/nginx-confd-etcd
vulcand, Programmatic load balancer backed by Etcd https://vulcand.io, https://github.com/mailgun/vulcand
mattermost, Open source Slack-alternative in Golang and React, https://github.com/mattermost/platform
docker-zipkin, Docker images for OpenZipkin, https://github.com/openzipkin/docker-zipkin
docker-route53-dyndns, Automated DynDNS for Docker containers using docker-gen and Route53, https://github.com/hmalphettes/docker-route53-dyndns
kontena, Docker Container Orchestration Platform, https://github.com/kontena/kontena
docket, Custom docker registry that allows for lightning fast deploys through bittorrent ,https://github.com/netvarun/docket
wagl, DNS Service Discovery for Docker Swarm, https://github.com/ahmetalpbalkan/wagl
dockdash, interactive docker stats dashboard based on termui, https://github.com/byrnedo/dockdash
mantl,Mantl is a modern platform for rapidly deploying globally distributed services  ,https://github.com/CiscoCloud/mantl
