name, description, link
hashie, Hashie is a simple collection of useful Hash extensions., https://github.com/intridea/hashie
pundit, Minimal authorization through OO design and pure Ruby classes, https://github.com/elabs/pundit
eye, Process monitoring tool. Inspired from Bluepill and God, https://github.com/kostya/eye
deis, Your PaaS. Your Rules.,https://github.com/deis/deis
pony, The express way to send mail from Ruby.,https://github.com/benprew/pony
mina, Really fast deployer and server automation tool. ,https://github.com/mina-deploy/mina
slides, An extremely simplistic logs-as-data implementation.,https://github.com/brandur/slides
naugth, A toolkit for building Null Object classes in Ruby, https://github.com/avdi/naught
tnt, Make understandable and actionable error classes easily,https://github.com/ahawkins/tnt
moneta, a unified interface to key/value stores, https://github.com/minad/moneta
hutch,A system for processing messages from RabbitMQ , https://github.com/gocardless/hutch
sneakers, A fast background processing framework for Ruby and RabbitMQ, https://github.com/jondot/sneakers
fig,Fast isolated development environments using Docker , https://github.com/orchardup/fig
aws-s3, AWS-S3 is a Ruby implementation of Amazon's S3 REST API, https://github.com/marcel/aws-s3
fog, The Ruby cloud services library, https://github.com/fog/fog
roar,  Resource-oriented architectures in Ruby, https://github.com/apotonick/roar
committee,A collection of Rack middleware to support JSON Schema, https://github.com/interagent/committee 
grape, An opinionated micro-framework for creating REST-like APIs in Ruby, https://github.com/intridea/grape
gon, Your Rails variables in your JS, https://github.com/gitlabhq/gon
concord, Mixin to ease compositions under ruby, https://github.com/mbj/concord
interactor, Interactor provides a common interface for performing complex interactions in a single request., https://github.com/collectiveidea/interactor
charlatan, Neat delegation for ruby objects,https://github.com/solnic/charlatan
wisper, Wisper is a Ruby library for decoupling and managing the dependencies of your domain models., https://github.com/krisleech/wisper

